"id","filepath","url","type","brand","description","price","image_url","is_deleted"
"1","Wanderer Black Hiking Boots","/products/wanderer-black-hiking-boots","Footwear","Daybird","Daybird's Wanderer Hiking Boots in sleek black are perfect for all your outdoor adventures. These boots are made with a waterproof leather upper and a durable rubber sole for superior traction. With their cushioned insole and padded collar,these boots will keep you comfortable all day long.","109.99","1_generated_image.png","FALSE"
"2","Summit Pro Harness","/products/summit-pro-harness","Climbing","Gravitator","Conquer new heights with the Summit Pro Harness by Gravitator. This lightweight and durable climbing harness features adjustable leg loops and waist belt for a customized fit. With its vibrant blue color,you'll look stylish while maneuvering difficult routes. Safety is a top priority with a reinforced tie-in point and strong webbing loops.","89.99","2_generated_image.png","FALSE"
"3","Alpine Fusion Goggles","/products/alpine-fusion-goggles","Ski/boarding","WildRunner","Enhance your skiing experience with the Alpine Fusion Goggles from WildRunner. These goggles offer full UV protection and anti-fog lenses to keep your vision clear on the slopes. With their stylish silver frame and orange lenses,you'll stand out from the crowd. Adjustable straps ensure a secure fit,while the soft foam padding provides comfort all day long.","79.99","3_generated_image.png","FALSE"
"4","Expedition Backpack","/products/expedition-backpack","Bags","Quester","The Expedition Backpack by Quester is a must-have for every outdoor enthusiast. With its spacious interior and multiple pockets,you can easily carry all your gear and essentials. Made with durable nylon fabric,this backpack is built to withstand the toughest conditions. The orange accents add a touch of style to this functional backpack.","129.99","4_generated_image.png","FALSE"
"5","Blizzard Rider Snowboard","/products/blizzard-rider-snowboard","Ski/boarding","B&R","Get ready to ride the slopes with the Blizzard Rider Snowboard by B&R. This versatile snowboard is perfect for riders of all levels with its medium flex and twin shape. Its black and blue color scheme gives it a sleek and cool look. Whether you're carving turns or hitting the terrain park,this snowboard will help you shred with confidence.","299.99","5_generated_image.png","FALSE"
"6","Carbon Fiber Trekking Poles","/products/carbon-fiber-trekking-poles","Trekking","Raptor Elite","The Carbon Fiber Trekking Poles by Raptor Elite are the ultimate companion for your hiking adventures. Designed with lightweight carbon fiber shafts,these poles provide excellent support and durability. The comfortable and adjustable cork grips ensure a secure hold,while the blue accents add a stylish touch. Compact and collapsible,these trekking poles are easy to transport and store.","69.99","6_generated_image.png","FALSE"
"7","Explorer 45L Backpack","/products/explorer-45l-backpack","Bags","Solstix","The Explorer 45L Backpack by Solstix is perfect for your next outdoor expedition. Made with waterproof and tear-resistant materials,this backpack can withstand even the harshest weather conditions. With its spacious main compartment and multiple pockets,you can easily organize your gear. The green and black color scheme adds a rugged and adventurous edge.","149.99","7_generated_image.png","FALSE"
"8","Frostbite Insulated Jacket","/products/frostbite-insulated-jacket","Jackets","Grolltex","Stay warm and stylish with the Frostbite Insulated Jacket by Grolltex. Featuring a water-resistant outer shell and lightweight insulation,this jacket is perfect for cold weather adventures. The black and gray color combination and Grolltex logo add a touch of sophistication. With its adjustable hood and multiple pockets,this jacket offers both style and functionality.","179.99","8_generated_image.png","FALSE"
"9","VenturePro GPS Watch","/products/venturepro-gps-watch","Navigation","AirStrider","Navigate with confidence using the VenturePro GPS Watch by AirStrider. This rugged and durable watch features a built-in GPS,altimeter,and compass,allowing you to track your progress and find your way in any terrain. With its sleek black design and easy-to-read display,this watch is both stylish and practical. The VenturePro GPS Watch is a must-have for every adventurer.","199.99","9_generated_image.png","FALSE"
"10","Trailblazer Bike Helmet","/products/trailblazer-bike-helmet","Cycling","Green Equipment","Stay safe on your cycling adventures with the Trailblazer Bike Helmet by Green Equipment. This lightweight and durable helmet features an adjustable fit system and ventilation for added comfort. With its vibrant green color and sleek design,you'll stand out on the road. The Trailblazer Bike Helmet is perfect for all types of cycling,from mountain biking to road cycling.","59.99","10_generated_image.png","FALSE"
"11","Vertical Journey Climbing Shoes","/products/vertical-journey-climbing-shoes","Climbing","WildRunner","The Vertical Journey Climbing Shoes from WildRunner in sleek black are the perfect companion for any climbing enthusiast. With an aggressive down-turned toe,sticky rubber outsole,and reinforced heel cup for added support,these shoes offer ultimate performance on even the most challenging routes.","129.99","11_generated_image.png","FALSE"
"12","Powder Pro Snowboard","/products/powder-pro-snowboard","Ski/boarding","Zephyr","The Powder Pro Snowboard by Zephyr is designed for the ultimate ride through deep snow. Its floating camber allows for effortless turns and smooth maneuverability,while the lightweight carbon fiber construction ensures maximum control at high speeds. This board,available in vibrant turquoise,is a must-have for any backcountry shredder.","399","12_generated_image.png","FALSE"
"13","Trailblaze hiking backpack","/products/trailblaze-hiking-backpack","Bags","Daybird","The Daybird Trailblaze backpack in forest green is a reliable and spacious bag for all your outdoor adventures. With a 40-liter capacity and durable ripstop fabric,this backpack provides ample storage and protection for your gear. Its ergonomic design and adjustable straps ensure a comfortable fit no matter the length of the hike.","89.99","13_generated_image.png","FALSE"
"14","Stellar Duffle Bag","/products/stellar-duffle-bag","Bags","Gravitator","The Stellar Duffle Bag from Gravitator is perfect for weekend getaways or short trips. Made from waterproof nylon and available in sleek black,it features multiple internal pockets and a separate shoe compartment to keep your belongings organized. With its adjustable shoulder strap and reinforced handles,this bag is as functional as it is stylish.","59.99","14_generated_image.png","FALSE"
"15","Summit Pro Insulated Jacket","/products/summit-pro-insulated-jacket","Jackets","Raptor Elite","The Summit Pro Insulated Jacket by Raptor Elite is designed to keep you warm and dry in extreme conditions. With its waterproof and breathable construction,heat-sealed seams,and insulation made from recycled materials,this jacket is both eco-friendly and high-performance. Available in vibrant red,it also features a removable hood and plenty of storage pockets.","249.99","15_generated_image.png","FALSE"
"16","Expedition 2022 Goggles","/products/expedition-2022-goggles","Ski/boarding","Solstix","Solstix Expedition 2022 Goggles provide clear vision and optimal protection on the slopes. With an anti-fog lens,UV protection,and a comfortable foam lining,these goggles ensure a great fit and unrestricted vision even in challenging conditions. The matte black frame gives them a sleek and modern look.","89","16_generated_image.png","FALSE"
"17","Apex Climbing Harness","/products/apex-climbing-harness","Climbing","Legend","The Apex Climbing Harness by Legend is a lightweight and durable harness designed for maximum comfort and safety. With adjustable leg loops,a contoured waistbelt,and a secure buckle system,this harness provides a secure fit for all-day climbing sessions. Available in bold orange,it also features gear loops for easy access to your equipment.","89.99","17_generated_image.png","FALSE"
"18","Alpine Tech Crampons","/products/alpine-tech-crampons","Climbing","Grolltex","The Alpine Tech Crampons by Grolltex are essential for icy and challenging mountain terrains. Made from strong and lightweight stainless steel,these crampons provide excellent traction and stability. Their simple adjustment system allows for easy fitting and quick attachment to most hiking boots. Available in silver,they are suitable for both beginners and experienced mountaineers.","149","18_generated_image.png","FALSE"
"19","EcoTrail Running Shoes","/products/ecotrail-running-shoes","Footwear","Green Equipment","Experience the great outdoors while reducing your carbon footprint with the Green Equipment EcoTrail Running Shoes. Made from recycled materials,these shoes offer a lightweight,breathable,and flexible design in an earthy green color. With their durable Vibram outsole and cushioned midsole,they provide optimal comfort and grip on any trail.","119.99","19_generated_image.png","FALSE"
"20","Explorer Biking Computer","/products/explorer-biking-computer","Navigation","B&R","The Explorer Biking Computer by B&R is the ultimate accessory for cyclists seeking data and navigation assistance. With its intuitive touchscreen display and GPS capabilities,it allows you to track your route,monitor performance metrics,and receive turn-by-turn directions. Its sleek black design and waterproof construction make it a reliable companion on all your cycling adventures.","199.99","20_generated_image.png","FALSE"
"21","Trailblazer Black Hiking Shoes","/products/trailblazer-black-hiking-shoes","Footwear","Legend","The Legend Trailblazer is a versatile hiking shoe designed to provide unparalleled durability and comfort on any adventure. With its black color,these shoes offer a sleek and minimalist style. The shoes feature a waterproof GORE-TEX lining,Vibram rubber outsole for enhanced traction,and a reinforced toe cap for added protection. Conquer any trail with confidence in the Legend Trailblazer Black Hiking Shoes.","129.99","21_generated_image.png","FALSE"
"22","Venture 2022 Snowboard","/products/venture-2022-snowboard","Ski/boarding","Raptor Elite","The Raptor Elite Venture 2022 Snowboard is a true all-mountain performer,perfect for riders of all levels. Its sleek design,combined with the vibrant blue color,makes it stand out on the slopes. The snowboard features a responsive camber profile,carbon fiber laminates for enhanced stability,and a sintered base for maximum speed. Take your snowboarding skills to new heights with the Raptor Elite Venture 2022 Snowboard.","499","22_generated_image.png","FALSE"
